OTU	Sample	Abundance	Plant.Name	Treatment	Shoot_mass_g	Pod_mass_g	N_pods	Root_mass_g	Kingdom	Phylum	Class	Order	Family	Genus
OTU_27	C4	0.923484458	C4	Control	4.75	5.08	4	-1.08	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
OTU_27	C1	0.906465376	C1	Control	3.5	3.78	7	3.22	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
OTU_27	C2	0.904496226	C2	Control	4.28	5.45	10	4.55	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
OTU_27	D5	0.901683154	D5	Water withholding	2.77	1.39	6	4.61	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
OTU_27	C3	0.873036711	C3	Control	5.42	2.37	6	3.63	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
OTU_27	D4	0.79342679	D4	Water withholding	1.82	1.07	4	2.93	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
OTU_27	C5	0.780439777	C5	Control	3.29	2.21	7	4.79	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
OTU_27	N1	0.745088846	N1	Nutrient addition	20.78	15.33	39	23.67	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
OTU_27	C6	0.744010502	C6	Control	5.33	2.48	6	3.52	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
OTU_27	D6	0.650428993	D6	Water withholding	1.01	1.47	5	3.53	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
OTU_27	N3	0.607342116	N3	Nutrient addition	19.86	7.4	21	13.6	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
OTU_27	N2	0.475080876	N2	Nutrient addition	34.38	4.06	9	4.94	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
OTU_27	C8	0.47146274	C8	Control	5.41	3.25	7	3.75	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
OTU_27	D7	0.415959492	D7	Water withholding	1.15	1.15	2	0.85	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
OTU_248	D3	0.396596184	D3	Water withholding	0.86	0.8	6	5.2	Fungi					NA
OTU_248	D2	0.382812134	D2	Water withholding	2.82	0.52	2	1.48	Fungi					NA
OTU_248	D1	0.38215575	D1	Water withholding	2.92	2.51	6	3.49	Fungi					NA
OTU_248	N4	0.360495101	N4	Nutrient addition	22.51	10.75	24	13.25	Fungi					NA
OTU_248	N6	0.347930048	N6	Nutrient addition	27.72	4.97	16	11.03	Fungi					NA
OTU_248	N5	0.330207698	N5	Nutrient addition	29.51	8.49	18	9.51	Fungi					NA
OTU_27	N7	0.327253973	N7	Nutrient addition	12.42	8.83	15	6.17	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
OTU_151	D1	0.326550706	D1	Water withholding	2.92	2.51	6	3.49	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium
OTU_151	D3	0.324300248	D3	Water withholding	0.86	0.8	6	5.2	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium
OTU_151	D2	0.323081251	D2	Water withholding	2.82	0.52	2	1.48	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium
OTU_151	N6	0.311782081	N6	Nutrient addition	27.72	4.97	16	11.03	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium
OTU_27	C7	0.310741088	C7	Control	2.85	2.6	6	3.4	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
OTU_151	N5	0.310516199	N5	Nutrient addition	29.51	8.49	18	9.51	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium
